iter	F1	Logloss
159	0.9528336372	0.2395500708
160	0.9530078617	0.2383612642
161	0.9531821499	0.2379607414
162	0.9528336372	0.2374293347
163	0.9526594764	0.2363847742
164	0.9528336372	0.2352096424
165	0.9535309176	0.2343647526
166	0.9538799406	0.233585285
167	0.9537053972	0.2326896024
168	0.954054548	0.2318731387
169	0.954054548	0.2312819425
170	0.9542292193	0.2307632502
171	0.9544039545	0.2296608616
172	0.9549285445	0.2287899778
173	0.9547536171	0.2278239322
174	0.9554537114	0.226938556
175	0.9554537114	0.2263340594
176	0.9556288954	0.2254698114
177	0.9558041437	0.2250414504
178	0.9558041437	0.2242699616
179	0.9559794563	0.2237624342
180	0.9559794563	0.2229740629
181	0.9559794563	0.2223112798
182	0.9561548332	0.2215158604
183	0.9563302745	0.2206983823
184	0.9566813502	0.2200271158
185	0.9568569847	0.2195080338
186	0.9565057801	0.2189917949
187	0.9565057801	0.2187885405
188	0.9572084474	0.2179996181
189	0.9572084474	0.2172811816
190	0.9577361257	0.2168129548
191	0.9572084474	0.2161498704
192	0.9572084474	0.2155990689
193	0.9572084474	0.2150866177
194	0.9577361257	0.2145978228
195	0.9577361257	0.2137694857
196	0.9582643861	0.2129050979
197	0.9580882346	0.2117168434
198	0.9582643861	0.2110022949
199	0.9584406024	0.2101412099
200	0.9586168836	0.209465241
201	0.9586168836	0.2088572229
202	0.9587932296	0.2078621548
203	0.9586168836	0.2072774787
204	0.9587932296	0.2062258113
205	0.9587932296	0.2058288894
206	0.9589696405	0.2047953095
207	0.9596759337	0.204075089
208	0.9594992629	0.2032559586
209	0.9589696405	0.2023044147
210	0.9591461163	0.2017956878
211	0.9594992629	0.2013650133
212	0.9593226571	0.2009749714
213	0.9594992629	0.2000905488
214	0.9591461163	0.1994875414
215	0.9594992629	0.1987736602
216	0.9593226571	0.1980699481
217	0.9594992629	0.1972590143
218	0.9598526696	0.1967021112
219	0.9596759337	0.1960324679
220	0.9596759337	0.1956951448
221	0.9596759337	0.1948355495
222	0.9603832681	0.1938741949
223	0.9600294707	0.1931983538
224	0.9603832681	0.1922050297
225	0.9605602647	0.1914320987
226	0.9607373265	0.1908878202
227	0.9609144536	0.1904013164
228	0.9607373265	0.1900413497
229	0.9605602647	0.1892719258
230	0.9609144536	0.1886157372
231	0.961446227	0.1880458476
232	0.9619785892	0.1874188441
233	0.9619785892	0.1869318128
234	0.962333825	0.1863891293
235	0.962333825	0.1855922511
236	0.9625115414	0.184892312
237	0.9626893233	0.1842366327
238	0.9626893233	0.1837834204
239	0.9626893233	0.1832688987
