iter	F1	Logloss
0	0.7571735038	0.6843891568
1	0.8073187731	0.6746321867
2	0.8350293551	0.6661664932
3	0.8371592464	0.6540967057
4	0.8291397674	0.6450387901
5	0.8358854656	0.6387677069
6	0.8466203965	0.6293805622
7	0.8431458253	0.6184013106
8	0.848365012	0.611232433
9	0.8470123092	0.6030167101
10	0.8537602857	0.5963914313
11	0.8617667855	0.5872587994
12	0.8628293369	0.5791272821
13	0.8683355397	0.5720066705
14	0.8715225414	0.5653077762
15	0.8779850128	0.5603194779
16	0.8781424072	0.5549917893
17	0.8856533097	0.5495776067
18	0.8756056042	0.542425304
19	0.8743093965	0.5355154068
20	0.8814607746	0.5318211945
21	0.8801936817	0.5255033429
22	0.8843251153	0.5193234125
23	0.8871405457	0.5134310606
24	0.8874594406	0.5065108505
25	0.8890573605	0.5003575311
26	0.8816424514	0.4965075583
27	0.882442976	0.4929708049
28	0.8814825207	0.4884055559
29	0.8781321686	0.4842484515
30	0.8914650588	0.4795998916
31	0.8916260358	0.4752062676
32	0.8922705255	0.4720216592
33	0.8870474717	0.468186578
34	0.8917870709	0.4652159572
35	0.8925931198	0.4617950318
36	0.8917870709	0.4579757185
37	0.8925931198	0.4534157031
38	0.8976336082	0.4484367461
39	0.8986060491	0.445102421
40	0.8992555144	0.4417123941
41	0.9044415691	0.4369837419
42	0.9055845654	0.4328919131
43	0.9057480865	0.4280818723
44	0.9062390042	0.4245033544
45	0.9064027617	0.4217599207
46	0.9072224378	0.4185249705
47	0.907386551	0.4162505936
48	0.9078792469	0.4124311787
49	0.909030954	0.4088590723
50	0.9130560534	0.4062315341
51	0.9127263484	0.4026303328
52	0.910350774	0.3989591166
53	0.9148736973	0.3961312257
54	0.9140465992	0.3943195271
55	0.9187079827	0.3910928875
56	0.9188736883	0.3886025083
57	0.9145426785	0.3862877113
58	0.9182112242	0.38302254
59	0.9188736883	0.3794497327
60	0.9166985925	0.3765368551
61	0.920700403	0.3750182173
62	0.9176970617	0.3736283093
63	0.9171975553	0.3712769488
64	0.9178636847	0.3690171182
65	0.9190317424	0.366665686
66	0.9186977084	0.3649291208
67	0.9186977084	0.362869106
68	0.9190317424	0.3610939267
69	0.9158357861	0.3586718137
70	0.9183639171	0.3564874552
71	0.9197005396	0.3544443924
72	0.9202027767	0.3527758204
73	0.9200353034	0.3507188677
74	0.9200353034	0.3488073193
75	0.9242080125	0.3466826802
76	0.9238728034	0.3453785368
77	0.9243757083	0.3443600262
78	0.9205379063	0.3421548627
79	0.924543465	0.3400256602
80	0.9240403776	0.3377868151
81	0.9247112825	0.3361271912
82	0.9252151009	0.3340018466
83	0.9252151009	0.332152344
84	0.9258877134	0.3298304697
85	0.9257194686	0.3285561643
86	0.9300360277	0.3271542975
87	0.9300360277	0.3255760565
88	0.9296991687	0.3237324205
89	0.931048071	0.3213250994
90	0.9307104786	0.3203461637
91	0.9313859084	0.318557216
92	0.931723991	0.3170406041
93	0.931554919	0.3152928908
94	0.9313859084	0.3135435765
95	0.9322315754	0.3116916463
96	0.931723991	0.3104168351
97	0.9324008932	0.3094479726
98	0.9322315754	0.3088529734
99	0.9325702724	0.3070968099
100	0.9325702724	0.3053004943
101	0.9325702724	0.304261887
102	0.9330787796	0.3026677052
103	0.9330787796	0.3019625561
104	0.9334180926	0.300071457
105	0.9380542547	0.2984055199
106	0.939076025	0.2962172229
107	0.9394171099	0.2950706089
108	0.9397584427	0.2940150101
109	0.9401000236	0.2926131289
110	0.9401000236	0.2911647992
111	0.9395877453	0.289560824
112	0.940441853	0.2877753934
113	0.9448875988	0.2863487416
114	0.9442028976	0.2853162072
115	0.943860919	0.284727713
116	0.9442028976	0.2841158432
117	0.9445451241	0.2826803388
118	0.9448875988	0.2809081749
119	0.9454017767	0.2797046399
120	0.9450589292	0.2792710796
121	0.9445451241	0.2784372051
122	0.9448875988	0.2769195707
123	0.9448875988	0.2759639942
124	0.9448875988	0.2749335475
125	0.9450589292	0.2739147287
126	0.9460882183	0.2720336278
127	0.9462599845	0.2704521813
128	0.9467756576	0.2688680292
129	0.9478086916	0.2674806327
130	0.9478086916	0.2663347752
131	0.9490167508	0.2654049888
132	0.9490167508	0.2648172577
133	0.9486712769	0.2639783742
134	0.9486712769	0.2621943956
135	0.9491895821	0.261361982
136	0.9490167508	0.2603672918
137	0.9491895821	0.2593729081
138	0.9504011662	0.2579441841
139	0.9505745021	0.2570204553
140	0.9507479014	0.2558658838
141	0.9507479014	0.2552422478
142	0.9510948897	0.2538655558
143	0.9516158472	0.2529729026
144	0.9517896266	0.2522858293
145	0.9517896266	0.2514479079
146	0.9516158472	0.2506870849
147	0.9517896266	0.2501405424
148	0.9517896266	0.2491875772
149	0.9512684788	0.2480919535
150	0.9514421313	0.2474446929
151	0.9514421313	0.2464332595
152	0.9517896266	0.2458156979
153	0.9514421313	0.245222111
154	0.9516158472	0.2445040301
155	0.9521373759	0.2430642481
156	0.9524853793	0.2420190172
157	0.9528336372	0.2415004981
158	0.9524853793	0.2407083187
